userName,at,content
Pengguna Google,2024-12-09 13:02:53,"Sering error muncul kalimat ""cek ulang nomor atau coba beberapa saat lagi"" Padahal nomor ada di daftar favorit, kok diminta cek ulang. Dicoba lagi dg jeda beberapa waktu, tetap nggak bisa. Nunggu berapa lama? Mending aplikasi lama jarang error. Atau kaya bank biru sebelah, ada 2 model yg sama2 bisa dipakai, aplikasi lama dan yg baru."
Pengguna Google,2024-12-09 12:55:02,"Awalnya bagus dan sangat memudahkan tpi Setengah mati mau beli token listrik, selalu tidak bisa 😭"
Pengguna Google,2024-12-09 12:45:58,Saya pengguna setia BNI sejak lama. Tapi QRIS dan ATM seringkali bermasalah. Mhn diperbaiki.
Pengguna Google,2024-12-09 12:40:04,"Terlalu banyak bug dan perbaikan mendadak, akibatnya macet dan terganggu dalam bertransaksi"
Pengguna Google,2024-12-09 12:30:47,ga bisa beli token listrik woy
Pengguna Google,2024-12-09 12:17:54,Sangat membantu
Pengguna Google,2024-12-09 12:16:26,Ga bisa transfer ga bisa beli token ga bisa semua hadeeehh
Pengguna Google,2024-12-09 12:04:43,"Aplikasi t*l*l, lebih banyak bug dan server selalu error, developer ga niat ini yg bikin"
Pengguna Google,2024-12-09 11:45:44,setelah memasukan data ktp dan verifikasi no telp sistem selalu error mohon di perbaiki
Pengguna Google,2024-12-09 11:26:29,"Saya mendapatkan bug pada apk. wondr. Dimana apabila nasabah sdh mengaktifkan login biometrik. dan sewaktu-waktu biometriknya error/tdk berfungsi. sy tidak bisa login lagi, karena apk wondr tidak memiliki opsi lainnya uti login (menggunakan password). Beda dengan mobile banking lainnya. Bisa menggunakan biometrik, bisa jg menggunakan password/pin. bug Ini sungguh merepotkan sy sebagai nasabah baru.."
Pengguna Google,2024-12-09 11:17:18,"Entah knpa saya lebih suka apk yg sebelumnya karna lebih mudah digunakan, di apk wondr ada bbrpa menu yg berbelit-belit saat digunakan"
Pengguna Google,2024-12-09 11:11:30,verifikasi email nya susah ga masuk².. gmn solusi nya??
Pengguna Google,2024-12-09 10:51:35,sesi login berakhir terus ga bisa login padahal abis daftar
Pengguna Google,2024-12-09 10:49:41,Minta otp aja susah amet..
Pengguna Google,2024-12-09 10:47:48,"Makin ribet aj nih terlalu banyak aplikasi padahal dr BNI mobil banking udh enak gak perlu keluar masuk aplikasi lagi,mohon dikembalikan seperti semula aj dalam 1 aplikasi untuk semua transaksi lebih mudah dan nyaman,jangan malah dibuat tambah ribet untuk transaksi dan lain nya 😒"
Pengguna Google,2024-12-09 10:45:34,Mantap
Pengguna Google,2024-12-09 10:36:11,Tolong dong diperbaiki loginnya sering tidak bisa
Pengguna Google,2024-12-09 10:22:57,Tidak ada informasi saldo pinjaman seperti aplikasi sebelumnya
Pengguna Google,2024-12-09 10:09:32,"banyak errornya, top up ke e-wallet lama, masih bagus mbanking sebelah kalau begitumah."
Pengguna Google,2024-12-09 10:00:55,sayang sekali aplikasi ini tidak ada fitur setor dan tarik tunai.. mohon untuk di berikan menu tersebut. baru saya kasih bintang 5
Pengguna Google,2024-12-09 09:40:21,Kemarin saya ke BNI Citra Garden di Medan mau aktivasi mobile banking katanya pindah ke wondr. Harapan saya pake BNI M Banking adalah fitur Transaksi Tanpa kartu dan bisa bayar Pendidikan di Semua Universitas. Tolong jika update tambahin fitur seperti di M Banking. Terimakasih
Pengguna Google,2024-12-09 09:31:56,"Aplikasi wondr by BNI ini fiturnya lebih lengkap dan update dari aplikasi BNI sebelumnya Sejauh ini Overall bagus sih, semoga kedepannya performa dari aplikasi ini semakin baik dan semoga minim kendala ✨"
Pengguna Google,2024-12-09 08:46:28,Dowload wondr by bni
Pengguna Google,2024-12-09 08:11:52,Buggg
Pengguna Google,2024-12-09 07:53:48,Ok
Pengguna Google,2024-12-09 07:41:02,Bagus aplikasinya lengkap dan cepat
